,date,content
110,2021-11-11 12:54:02+00:00,"@Ambev Daria super certo!
Eu começo 
#Sextou"
111,2021-11-11 12:44:47+00:00,"@Ambev MAS QUEM SOU EU PARA JULGAR, NÉ??

Essa frase não pode faltar 🤪😂"
112,2021-11-11 12:29:20+00:00,@skol @Ambev Sexta-feira é logo ali ...
113,2021-11-11 02:02:43+00:00,@Ambev @Elmachips @Uber @Nike @AmstelSA  @Accor @BurgerKing @Bradesco @MercadoLivre
114,2021-11-11 00:26:29+00:00,AVISA A AMBEV QUE O SANTOS GANHOU E EU SÓ PARO DE BEBER NA HORA DE TRABALHAR FODASEEEEEE https://t.co/K7TLkSyqnm
115,2021-11-10 22:31:07+00:00,"Estou me candidatando para uma vaga na @Ambev, me desejem sorte! Sempre quis trabalhar lá 🙏✨🏳️‍🌈❤️"
116,2021-11-10 18:53:20+00:00,"@Ambev Só quando tô afim de tomar uma mesmo, mô."
117,2021-11-10 15:37:00+00:00,"@soelendipp Na verdade, Anheuser-Busch InBev (abreviada AB InBev) é uma empresa multinacional de bebidas e cervejas formada em 2004 pela fusão da belga Interbrew e da brasileira Ambev."
118,2021-11-10 15:18:12+00:00,"Ambev, se um dia eu te critiquei me perdoa... você é o amor da minha vida ❤"
119,2021-11-10 14:53:06+00:00,"Cheguei na Ultima etapa do processo estag ambev e bati na trave, uffa,no proximo tu nao me escapa disgraça"
120,2021-11-10 13:53:35+00:00,@Ambev Meu endereço ja esta livre para recebidos 😅
121,2021-11-10 13:15:09+00:00,@br7brunorafael Isso foi na fábrica da Ambev em 2013 eu acho. Kkkk
122,2021-11-10 11:06:27+00:00,"Uma coisa que o Brasileiro fez bem feito nessa pandemia:
* Encheu a cara 
* Meteu bala 
#ambev @ElevatorLeblon
#tasa @jocanetoo 
Bom dia"
123,2021-11-10 07:15:00+00:00,"@revistapiaui @Ambev querida, tem alguma coisa haver com isso?"
124,2021-11-10 02:03:28+00:00,Alô @Ambev dobra a produção ai.. https://t.co/Ig45BePseh
125,2021-11-09 21:38:06+00:00,Drinking an Antarctica Original by AmBev @ Donanna — https://t.co/hm3Ysxi39o
126,2021-11-09 21:08:45+00:00,"@Ambev Aos de verdade, família e a gata que me apaixonou 🍻"
127,2021-11-09 20:00:42+00:00,"@Ambev a você, amor 🤪❤️"
128,2021-11-09 18:08:34+00:00,"Vou acompanhar esses ativos: 
Gosto de operar e ter em carteira.

VALE 
Petrobras 
Bradesco 
Itaú 
B3 
Magazine Luiza 
Ambev 
WEG 
Suzano 

Fazendo o simples e aproveitando a volatilidade. 

Quer receita do bolo pede pra Palmirinha."
129,2021-11-09 12:14:22+00:00,Alô @Ambev dobra a produção aí.. 🎶🐔🍻 https://t.co/BO1vJfxnId
130,2021-11-09 11:56:21+00:00,@moneymakerbr Ambev!
131,2021-11-09 03:36:47+00:00,"Alô, AmBev?
Dobra a produção aí, que a gente bebe"
132,2021-11-09 01:55:40+00:00,@ericpaixao10 @LucasSo2L6991 @Ambev haja fígado kkk
133,2021-11-08 23:30:51+00:00,"@portalR7 Se houver uma 3ª onda de Covid, como a China está prevendo e se preparando, já temos os assassinos e os patrocinadores da morte, @jdoriajr e @Ambev"
134,2021-11-08 22:39:11+00:00,Resolvi investir na bolsa de valores. Comprei uma ação da AmBev 🤭
135,2021-11-08 22:00:27+00:00,Alô AMBEV https://t.co/amwQMGcMPh
136,2021-11-08 21:38:37+00:00,"@BFeitosa25 Vc é a AmBev em pessoa, por isso o álcool não faz mais efeito kkkk"
137,2021-11-08 14:28:43+00:00,"a Ambev organizou uma festa hoje, meu pai vai e não quer me levar🤬"
138,2021-11-08 12:00:35+00:00,Já tem tempo que excluí AMBEV do meu cardápio! https://t.co/IAQJQNDQ81
139,2021-11-08 01:41:48+00:00,"Eu e meu único amor.
Segundo esse bilete essa yag tá disponível pra apaixonar sem dar golpe heim.

#LGBTQIA #minasgerais #ambev https://t.co/aFTKvj1c7r"
140,2021-11-08 00:34:15+00:00,"@viniciusssouza_ @mottavinicius_ @bruno1spfc @BrahmaCerveja alô @Ambev e @BrahmaCerveja!!!

Bora?"
141,2021-11-07 23:20:34+00:00,"Evento Spaten 🍃 
.
#spatengarten #love #bear #spaten #garten #munich #moment #life #forever #bff #boyfriend #ambev em Parque Ibirapuera https://t.co/V03U5Afa7Z"
142,2021-11-07 18:37:44+00:00,"Alô Ambev
Dobra a produção aí 
🍺🍺🍺 em Lages https://t.co/t2AZH9BAge"
143,2021-11-07 15:43:15+00:00,@jpmb_ Pode descer a ambev
144,2021-11-07 15:28:39+00:00,Fatura la no alto e eu virando sócio da Uber e da Ambev 😃 https://t.co/ZEjjuoMqDL
145,2021-11-06 23:15:11+00:00,@uaijordany @Ambev a gente não bebe em horário de serviço EU JURO 😭😭
146,2021-11-06 23:13:08+00:00,"estou na mesma situação e também quero um estágio na @Ambev 

AJUDA NÓS AMBEV 😭😭 https://t.co/dzbWGqtNH7"
147,2021-11-06 22:48:08+00:00,"@juvelasco22 Pra quem não gostava de cerveja, vai falir a Ambev kkkkkkk"
148,2021-11-06 21:11:10+00:00,Feliz em participar do BOCK evento realizado por funcionários pretos da @Ambev e sair com mimos como um curso oferecido por eles e um cupom 50% off de @Budweiser_Br para usar no @ZeDelivery 💛
149,2021-11-06 12:43:04+00:00,"@MariluPamc Haha! Qual seria a boa então ? Cerveja sem lúpulo, fermentada com milho e repolho como Skol, Brahma etc?, hehe. Ou é cerveja de vdd ou é a merda da AMBEV, que não dá …"
150,2021-11-06 12:09:47+00:00,"@EsquerdoDoPeito @LuizAnt69315613 @MariluPamc Caraca, eu não sabia. Mas faz todo sentido. Quando não tem Heineken, compro Amstel... pelo sabor mesmo. Até a cerveja B deles é melhor do que os sucos da AmBev. Triste. A indústria nacional podia buscar essa qualidade."
151,2021-11-06 11:16:22+00:00,Era uma vez o estoque da Ambev. https://t.co/5iFjFiwlP4
152,2021-11-05 22:29:18+00:00,"Em respeito ao trágico ocorrido, hoje a AMBEV vai ter queda nas vendas. Não vou beber. Marilia Mendonca descanse em paz.
Ja dizia Mioto: Deve agora estar impressionando os anjos. 🖤😪"
153,2021-11-05 21:13:25+00:00,"olha a fama q tamo pegando
ambev patrocina nós https://t.co/TYvfR05CYX"
154,2021-11-05 21:01:19+00:00,Poxa @Ambev cancela nossa Marília descansou  🥺🥺🥺
155,2021-11-05 20:25:30+00:00,até com engarrafamento vc vê atropelamento nesse corredor da ambev kkkkk
156,2021-11-05 20:09:05+00:00,"@heeyeny Depois de ganhar o selo do Inmetro e da Ambev ontem, eu tô solto 😂😂"
157,2021-11-05 19:50:06+00:00,@ArpiniTaynan vamo ter q roubar a ambev
158,2021-11-05 18:53:01+00:00,Alo AmBev https://t.co/XaCSfPhN7n
159,2021-11-05 16:48:47+00:00,"Vida de pequeno empresário é uma dureza. Com muito orgulho consegui negociar e quitar 100% dos meus fornecedores. Obrigado ambev, coca-cola, brfoods, Sost, prática, etc…
Com exceção da gigante JBS Friboy que vai na contramão e é intransigente na cobrança de juros e multas."
160,2021-11-05 04:05:49+00:00,@Ambev https://t.co/zFRLDlcNsm
161,2021-11-05 03:47:07+00:00,@peedro_sg Alô AMBEV 🤣🤣🤣🤣🤣🤣
162,2021-11-05 02:42:22+00:00,Só a dor de cabeça q tive com AmBev hj
163,2021-11-05 01:53:56+00:00,"Inovação aberta na indústria de alimentos acelera as foodtechs 

Foi-se o tempo quando as empresas tinham que trabalhar de portas fechadas e sob restrito ambiente de sigilo.

#inovaçãoaberta #zerohunger #startups #foodtech #Ambev #TetraPak #Nestlé #Bayer

https://t.co/01ER2IXmWb"
164,2021-11-05 00:36:53+00:00,"Mais dinheiro para o @Flamengo vai entrar aí do novo contrato com a @Ambev e vamos continuar ainda com treinero nacional ? #VamosFlamengo 
#Crf
#Pracimadeles"
165,2021-11-05 00:32:07+00:00,Drinking a Caracu by AmBev @ Fazenda Recanto do Leão — https://t.co/O5ZvlR7vzF
166,2021-11-04 23:00:37+00:00,Sem falar que Lemann era herdeiro de uma família rica e estudou economia em Havard antes de fundar a Ambev https://t.co/gfxSk9dpw9
167,2021-11-04 22:40:05+00:00,"Flamengo aprova parceria com empresa de bebidas que pode render R$ 53,5 mil.

Conselho Deliberativo do @Flamengo aprovou (por unanimidade) dois contratos com a Ambev.

 Bolada pode chegar a R$ 53,5 milhões.

✍🏻 @UOLEsporte @UOL @leo_burla https://t.co/JCuQoeht1r"
