,date,content
79,2020-09-05 18:40:24+00:00,Nao esperava que a cerveja hoegaarden fosse tão gostosa. Vale o preço.
80,2020-09-05 04:27:01+00:00,Mais cedo eu tava assim! @ Hoegaarden Greenhouse https://t.co/ilTOC1n3t6
81,2020-09-01 21:57:15+00:00,"Saudade de beber cerveja de trigo.
Podia ser Paulaner ou Hoegaarden https://t.co/PXUZkuhuFI"
82,2020-09-01 11:40:56+00:00,@fewerneck83 Comprei uma caixa de Hoegaarden e vc nem deu ideia. Agora padeça.
83,2020-08-25 23:39:31+00:00,Hoegaarden + Laranja = combinação incrivel! https://t.co/ApPh1whbeA
84,2020-08-24 19:02:43+00:00,"@LaetitiaFerrum La 0.0 realmente no es del mismo sabor, pero tampoco es el mismo sabor que la Hoegaarden regular, para mi estaba súper rica, todas todas."
85,2020-08-22 00:45:51+00:00,#hoegaarden #dbrejas #sextow em D'Brejas https://t.co/PrZaCmCivk
86,2020-08-20 22:25:50+00:00,@wackomatico Eu ficaria muito puto se a witbier em questão fosse uma Hoegaarden. 😂
87,2020-08-11 14:00:33+00:00,"Gente, Hoegaarden 0,0%, essa não esperava"
88,2020-08-08 23:26:33+00:00,@ivansie Hoegaarden
89,2020-08-08 01:59:53+00:00,*It is a Hoegaarden you curious little minx*
90,2020-08-07 23:24:44+00:00,"Quando eu for mãe quero ganhar presentes tipo os que eu dou pro meu pai, como em forma de hoegaarden por exemplo"
91,2020-08-07 13:32:04+00:00,TEM HOEGAARDEN NA COMPRA DO MÊS DESSE MÊSSSS
92,2020-08-05 16:34:15+00:00,Novo normal tem Hoegaarden 550ml! Gostei desse novo normal! Bateu saudades da Dinamarca e da @Bibilima !! https://t.co/E9MXlWf2uj
93,2020-08-02 21:17:17+00:00,@Luisrollingx Hoegaarden
94,2020-07-31 00:59:54+00:00,Comprei Hoegaarden por R$5 e estou feliz.
95,2020-07-30 22:57:35+00:00,Como eu queria agora uma breja witbier ..de preferência  uma hoegaarden
96,2020-07-28 23:55:37+00:00,Drinking a Hoegaarden Rosée by @hoegaarden @ Edificio Fortaleza II — https://t.co/NVFC82AG3T
97,2020-07-25 07:07:40+00:00,@J_blueberry6 o mais caro vinho jamais será melhor do que uma belíssima hoegaarden...............
98,2020-07-22 15:39:50+00:00,"Essa taça fez sucesso no final de semana... Que foi... em casa! 
.
.
.
.
#stayhome #staysafe #quarentine #bodebrown #beer #hoegaarden #badenbaden em Rio de Janeiro, Rio de Janeiro https://t.co/QsT55tklKY"
99,2020-07-22 03:25:42+00:00,"height            : 6’2”
shoe size      : 10
zodiac sign   : Libra ♎️ 
tattoos           : 2 
piercings        : 2
fav color(s)    : Green
fav drink         : Hoegaarden https://t.co/nkKl6CwM7I"
